0x0E,0x29,`
0x16,0x02,1
0x1E,0x03,2
0x26,0x04,3
0x25,0x05,4
0x2E,0x06,5
0x36,0x07,6
0x3D,0x08,7
0x3E,0x09,8
0x46,0x0a,9
0x45,0x0b,0
0x4E,0x0c,-
0x55,0x0d,=
0x66,0x0e,Backspace
0x0D,0x0f,Tab
0x15,0x10,q
0x1D,0x11,w
0x24,0x12,e
0x2D,0x13,r
0x2C,0x14,t
0x35,0x15,y
0x3C,0x16,u
0x43,0x17,i
0x44,0x18,o
0x4D,0x19,p
0x54,0x1a,[
0x5B,0x1b,]
0x58,0x3a,Caps Lock
0x1C,0x1e,a
0x1B,0x1f,s
0x23,0x20,d
0x2B,0x21,f
0x34,0x22,g
0x33,0x23,h
0x3B,0x24,j
0x42,0x25,k
0x4B,0x26,l
0x4C,0x27,;
0x52,0x28,'
0x5A,0x1c,Enter
0x12,0x2a,Left Shift
0x1A,0x2c,z
0x22,0x2d,x
0x21,0x2e,c
0x2A,0x2f,v
0x32,0x30,b
0x31,0x31,n
0x3A,0x32,m
0x41,0x33,","
0x49,0x34,.
0x4A,0x35,/
0x59,0x36,Right Shift
0x14,0x1d,Left Ctrl
0x11,0x38,Left Alt
0x29,0x39,Spacebar
0x77,0x00,Num Lock
0x6C,0x67,Keypad 7
0x6B,0x6a,Keypad 4
0x69,0x6d,Keypad 1
0x75,0x68,Keypad 8
0x73,0x6b,Keypad 5
0x72,0x6e,Keypad 2
0x70,0x70,Keypad 0
0x7C,0x66,Keypad *
0x7D,0x69,Keypad 9
0x74,0x6c,Keypad 6
0x7A,0x6f,Keypad 3
0x71,0x71,Keypad .
0x7B,0x4a,Keypad -
0x79,0x4e,Keypad +
0x76,0x01,Esc
0x05,0x3b,F1
0x06,0x3c,F2
0x04,0x3d,F3
0x0C,0x3e,F4
0x03,0x3f,F5
0x0B,0x40,F6
0x83,0x41,F7
0x0A,0x42,F8
0x01,0x43,F9
0x09,0x44,F10
0x78,0x62,F11->HELP
0x07,0x61,F12->UNDO
0x7E,0x61,Scroll Lock
0x5D,0x2b,\
